FID;Waterbody Name;area_ha;setname;wbrscode;Water body Code;District;state;Basin Code;Sub Basin
848230;Dhari;59.69980637;Dhokalva;R01432;Reservoir;Rajkot;Gujarat;Sabarmati;Sabarmati Lower
848128;Dhariya;16.83445142;Dhariya;R05120;Reservoir;Panch Mahals;Gujarat;Mahi;Mahi Lower
846706;Dharmaraopet;54.0179162;Dharmaraopet;R03589;Reservoir;Kamareddy;Telangana;Godavari;Pranhita and others
850453;Dharma Reservoir;517.53126822;Hoskoppa;R04871;Reservoir;Uttara Kannada;Karnataka;Krishna;Tungabhadra Upper
845677;Dharmasagaram Cheruvu;526.29190629;Devnoor;R06259;Reservoir;Warangal Urban;Telangana;Godavari;Pranhita and others
848800;Dharmavaram Dam;680.67232852;Dharmavaram;R07774;Reservoir;Anantapur;Andhra Pradesh;Pennar;Pennar Upper
848615;Dharm Sagar;318.85829865;Barana Thar;R01836;Reservoir;Tikamgarh;Madhya Pradesh;Ganga;Yamuna Lower
848723;Dharpimpri;20.267368;Chandas;R06746;Reservoir;Washim;Maharashtra;Tapi;Tapi Upper
846492;Dharur;10.78028603;Kille Dharur;R03564;Reservoir;Beed;Maharashtra;Godavari;Godavari Middle
848449;Dharur;29.10565812;Ramapur Alias Dharul;R03563;Reservoir;Akola;Maharashtra;Tapi;Tapi Upper
847938;Dharwara;80.14046488;Dharwara;R01837;Reservoir;Katni;Madhya Pradesh;Narmada;Narmada Upper
850975;Dhasai;89.88521159;Dhasai;R03566;Reservoir;Thane;Maharashtra;West flowing rivers from Tapi to Tadri;Bhatsol and others
847190;Dhatarwadi-I;450.48864732;Bhakshi;R05890;Reservoir;Amreli;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Shetrunji and other east flowing rivers
847192;Dhatarwadi-Ii;381.62569016;Kotdi;R06023;Reservoir;Amreli;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Shetrunji and other east flowing rivers
849629;Dhauliganga;21.08654949;Garguwa;R05993;Reservoir;Pithoragarh;Uttarakhand;Ganga;Ghaghara
845986;Dhaur;29.27616406;Dhaur;R03568;Reservoir;Nashik;Maharashtra;Godavari;Godavari Upper
847243;Dhavada;2.02421185;Sukhsan;R05121;Reservoir;Kachchh;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Luni Lower
